company_id,created_date
"9b4cb4e99d46b7e","2019-09-20"
"ab7530e7864beed","2019-12-13"
"5afee0d0972342e","2019-10-21"
"5fa0d9b9e755ff8","2019-10-29"
"5fcc8b46e7d759f","2019-11-28"
"d114ceb1421ecae","2019-09-13"
"5142aa3b8329712","2019-12-16"
"8c20906ed5e9df6","2019-08-08"
"f06885e542371fc","2019-08-21"
"6947e31b6c08ac2","2019-12-19"
"c2a0fc8cbd2885c","2019-11-19"
"d9a11e277e5c1ab","2019-10-08"
"dfe60707a26c9fd","2019-10-25"
"3c9390edf349b9f","2019-07-12"
"4580db10b8e4495","2019-12-11"
"80768c0326264c3","2019-10-24"
"cd172681738607f","2019-12-13"
"f3d2a383ffe828b","2019-08-26"
"df8b439e814cb90","2019-12-12"
"32c3d51f9a13e04","2019-08-29"
"fcd407379302304","2019-10-22"
"cdb9078c6467893","2019-07-17"
"0b9822c75f64f03","2019-11-01"
"b5c41aec4870ceb","2019-09-24"
"9a3bd1e34364fd3","2019-12-04"
"f9c4f4096b97eb0","2019-12-27"
".3e2948574d4a762","2019-09-03"
"bed2a1b1f97bf26","2019-12-12"
"329ce96a012f9ea","2019-07-11"
"3c36b562f64e08c","2019-08-16"
"8c540578789defe","2019-07-30"
"2b9bd3248671f89","2019-09-30"
"f19e88d3ffc8684","2019-10-11"
"f3ea8af6c372b08","2019-08-29"
"96a9b28b70faecd","2019-11-07"
"2d53fea15885ad4","2019-08-19"
"557ee6f6b73ba15","2019-12-17"
"aafe536b28adfbf","2019-07-02"
"e84a00dc912e32d","2019-08-14"
"ec215130c0c18b6","2019-10-15"
"8e9082fe5ba7dfe","2019-12-14"
"9180f5fdf2088c5","2019-08-16"
"7e3ecc10d186b09","2019-09-20"
"5132de884a30fa2","2019-09-18"
"42b53803c886e58","2019-11-13"
"3c6e961ac61946a","2019-08-16"
"b162bf45a896c0f","2019-12-09"
"ac32a808bf9bf19","2019-10-22"
"3e56f8a673b423e","2019-12-10"
"63dde601940c658","2019-10-17"
"6c60987dc858fc7","2019-09-23"
"9be22c575311fa1","2019-12-18"
"b04f92cacee4c33","2019-10-11"
"b162df43b84a391","2019-11-18"
"8cf723362d60278","2019-07-12"
"e7fb67e72e5bf87","2019-08-07"
"1dc14f14d8cdb00","2019-11-15"
"b6bfc56dc7d2485","2019-12-10"
"92d9a47085436ce","2019-11-08"
"ee5e8fcc50e471f","2019-12-11"
"b02b18f43501f42","2019-09-16"
"b157899c001e26b","2019-09-04"
"b157899c001e26b","2019-08-15"
"ba608bed5c645af","2019-10-24"
"3a66cf5f146dbd7","2019-11-05"
"7ab2d7a216c17f8","2019-07-01"
"ed95a2b76c3f8b2","2019-12-17"
"c9df9a2cecbbefe","2019-08-06"
"c6bc03365130d1e","2019-12-09"
"750b012ef43741d","2019-07-11"
"7d9a17b264fd767","2019-09-30"
"fefe0bfaf8067ac","2019-09-03"
"1081558998bdf5b","2019-11-12"
"19d91508e0293ab","2019-09-18"
"5d4cfa0ecb376bd","2019-09-30"
"02025e5a7899ebf","2019-09-12"
"c86cc8bc5252108","2019-12-12"
"c9dbe10bf86f9bd","2019-07-25"
"ed6e86f7ded5a6c","2019-10-09"
"765af1db5d49884","2019-10-18"
"782d2b868b48605","2019-09-26"
"281a2076788e628","2019-09-10"
"53c1f7442348ea9","2019-07-03"
"e7f3d410f8fc9b8","2019-11-27"
